date,num1,num2,num3,num4,num5,num6,num7,num8
7/01/2021,22,3,17,2,23,20,7,5
31/12/2020,1,11,28,8,7,2,16,7
24/12/2020,12,9,21,4,11,32,29,2
17/12/2020,29,4,17,16,33,5,9,13
10/12/2020,14,8,19,20,11,9,4,19
3/12/2020,21,29,15,1,28,12,17,17
26/11/2020,30,20,7,3,25,21,31,2
19/11/2020,30,7,12,13,1,34,26,11
12/11/2020,6,19,11,23,9,24,14,20
5/11/2020,24,3,13,2,35,14,21,12
29/10/2020,31,10,24,2,16,28,1,19
22/10/2020,5,10,19,1,6,16,31,10
15/10/2020,27,7,31,32,2,9,15,7
8/10/2020,35,9,10,17,19,11,20,3
1/10/2020,16,30,22,26,11,15,18,4
24/09/2020,13,11,1,32,31,3,8,3
17/09/2020,4,11,19,28,3,5,7,6
10/09/2020,10,23,9,2,19,29,8,14
3/09/2020,17,23,32,3,1,9,13,19
27/08/2020,23,2,16,14,18,13,28,9
20/08/2020,18,8,23,21,12,17,35,1
13/08/2020,5,24,15,16,14,32,6,19
6/08/2020,14,23,5,18,33,27,7,7
30/07/2020,24,3,30,19,27,9,35,1
23/07/2020,9,17,28,16,3,7,32,6
16/07/2020,18,34,32,23,26,14,11,5
9/07/2020,33,2,32,31,28,21,26,12
2/07/2020,26,15,16,6,1,21,10,19
25/06/2020,35,12,20,24,27,8,18,17
18/06/2020,32,24,28,17,7,14,22,1
11/06/2020,17,28,26,1,14,22,33,9
4/06/2020,20,12,27,1,5,10,17,13
28/05/2020,24,30,25,10,9,21,32,19
21/05/2020,30,9,23,32,18,8,7,4
14/05/2020,23,22,31,8,4,24,3,15
7/05/2020,12,9,16,23,26,35,29,10
30/04/2020,6,32,9,17,25,34,28,10
23/04/2020,32,35,3,18,7,6,14,2
16/04/2020,8,24,25,19,18,12,15,18
9/04/2020,2,4,18,34,27,12,19,11
2/04/2020,17,19,26,22,1,14,3,18
26/03/2020,14,21,16,12,1,29,27,7
19/03/2020,18,1,12,10,27,20,11,20
12/03/2020,20,10,17,28,19,33,26,2
5/03/2020,24,28,27,23,16,10,33,12
27/02/2020,16,24,31,9,17,22,1,2
20/02/2020,26,3,31,12,13,1,21,19
13/02/2020,25,7,29,14,5,32,2,3
6/02/2020,26,3,11,2,15,1,35,17
30/01/2020,8,9,35,22,20,17,5,16
23/01/2020,13,10,23,5,27,4,28,4
16/01/2020,20,25,7,14,21,28,16,11
9/01/2020,31,9,7,3,29,4,24,2
2/01/2020,27,25,21,3,35,2,9,4
26/12/2019,27,17,26,12,23,7,9,2
19/12/2019,9,11,8,32,4,10,29,18
12/12/2019,15,9,16,35,18,28,11,9
5/12/2019,29,32,30,14,19,20,27,6
28/11/2019,20,21,23,12,18,30,4,1
21/11/2019,1,12,3,2,25,13,23,1
14/11/2019,8,28,24,10,20,32,26,6
7/11/2019,21,12,10,13,33,7,3,4
31/10/2019,10,29,16,33,9,22,18,8
24/10/2019,19,11,1,24,7,12,30,7
17/10/2019,9,2,25,21,7,6,22,12
10/10/2019,28,11,27,16,6,3,35,10
3/10/2019,2,15,20,29,22,25,11,3
26/09/2019,33,30,25,26,22,9,27,19
19/09/2019,26,4,17,5,18,8,31,9
12/09/2019,27,28,10,20,11,30,31,2
5/09/2019,16,4,14,2,29,19,27,13
29/08/2019,8,20,9,11,27,22,32,20
22/08/2019,10,11,17,35,7,26,3,19
15/08/2019,24,35,27,30,21,7,14,13
8/08/2019,30,29,1,16,11,17,5,8
1/08/2019,15,35,9,25,22,30,23,6
25/07/2019,23,9,3,22,1,24,11,4
18/07/2019,6,13,1,11,23,27,16,11
11/07/2019,21,27,8,6,28,34,7,16
4/07/2019,2,21,15,20,28,27,22,3
27/06/2019,7,32,27,17,2,35,21,7
20/06/2019,19,16,4,34,10,17,14,13
13/06/2019,8,17,23,5,1,25,11,3
6/06/2019,8,33,35,7,31,2,11,20
30/05/2019,31,14,34,22,10,17,4,7
23/05/2019,10,7,6,17,16,30,20,4
16/05/2019,11,13,35,34,1,17,24,19
9/05/2019,29,15,5,17,19,26,18,2
2/05/2019,4,2,11,6,9,8,33,4
25/04/2019,25,33,23,5,9,2,11,6
18/04/2019,21,2,17,30,4,1,11,2
11/04/2019,15,32,20,8,19,18,22,9
4/04/2019,2,25,14,16,12,33,21,4
28/03/2019,4,34,25,27,30,26,5,18
21/03/2019,31,30,20,14,29,27,3,7
14/03/2019,24,27,17,5,8,20,2,6
7/03/2019,4,23,9,13,6,20,27,2
28/02/2019,7,5,13,4,2,14,11,14
21/02/2019,27,4,25,3,21,16,12,8
14/02/2019,3,23,10,21,6,34,11,5
7/02/2019,17,32,20,11,22,24,6,19
31/01/2019,34,31,29,10,19,28,22,10
24/01/2019,17,29,35,23,19,8,2,3
17/01/2019,20,18,33,22,11,26,4,9
10/01/2019,3,10,7,28,34,24,31,14
3/01/2019,8,11,19,12,7,25,33,13
27/12/2018,9,17,5,7,18,8,29,19
20/12/2018,19,5,24,13,9,32,20,15
13/12/2018,24,8,26,28,35,7,15,13
6/12/2018,14,6,26,3,20,5,33,19
29/11/2018,29,20,22,5,3,17,33,12
22/11/2018,14,29,34,33,17,3,28,17
15/11/2018,18,16,23,2,25,7,29,20
8/11/2018,29,35,12,30,17,23,15,10
1/11/2018,30,11,24,35,17,4,8,3
25/10/2018,28,29,26,13,25,9,11,12
18/10/2018,17,35,25,10,33,7,29,5
11/10/2018,21,13,23,20,27,32,30,13
4/10/2018,24,32,3,11,21,28,22,7
27/09/2018,22,5,10,30,19,21,15,3
20/09/2018,20,6,30,17,8,10,2,8
13/09/2018,2,22,34,1,35,19,17,11
6/09/2018,7,14,23,25,18,21,27,20
30/08/2018,20,32,15,19,22,13,28,20
23/08/2018,6,14,18,28,29,9,2,11
16/08/2018,33,3,32,13,27,35,31,3
9/08/2018,5,18,10,13,34,12,4,19
2/08/2018,32,34,1,9,17,22,3,19
26/07/2018,32,31,1,22,28,7,8,15
19/07/2018,22,23,29,4,24,2,25,17
12/07/2018,32,23,31,4,16,25,18,5
5/07/2018,7,29,33,23,34,20,32,16
28/06/2018,17,25,7,4,2,28,34,3
21/06/2018,2,24,5,31,13,9,35,16
14/06/2018,29,6,16,2,7,31,14,15
7/06/2018,34,30,14,32,22,24,23,9
31/05/2018,29,18,9,27,30,8,32,6
24/05/2018,12,14,2,18,23,19,25,17
17/05/2018,9,26,16,34,3,31,25,9
10/05/2018,6,24,15,14,26,32,35,14
3/05/2018,19,20,6,1,24,3,16,13
26/04/2018,14,35,34,15,24,19,9,12
19/04/2018,9,5,32,13,33,4,25,7
